Frame;ms on GPU;ConstantBuffersTime;SceneDepthPrePass;SceneShadows
1;38.1129;0.000896;19.3387;15.9683
2;29.7817;0.000128;16.5764;11.5627
3;35.4871;0.000128;23.178;10.8749
4;27.6124;0.000128;15.094;11.724
5;28.3394;0.000128;15.8749;11.4101
6;27.8576;0.000128;16.0192;10.8037
7;29.3004;0.000128;17.2368;10.7812
8;29.5027;0.000128;16.214;10.9273
9;28.3144;0.00016;15.5729;11.2233
10;27.0799;0.000128;15.2819;10.8849
11;27.2933;0.000128;14.8731;11.4138
12;27.8284;0.000128;15.6262;11.0138
13;28.3503;9.60E-05;15.6337;11.6588
14;32.0439;0.000128;18.5166;12.0836
15;28.857;9.60E-05;16.2234;11.625
16;27.69;0.000128;15.3941;11.1727
17;27.8595;0.000128;15.817;10.8705
18;27.3726;0.000128;15.0692;11.2324
19;26.7572;0.000128;14.9563;10.6334
20;28.2007;0.000128;15.1505;11.9229
21;28.8131;0.000128;16.8935;11.0007
22;28.9192;9.60E-05;17.0992;10.7078
23;28.263;9.60E-05;15.7609;11.3318
24;34.092;9.60E-05;21.91;10.9383
25;27.8726;0.000128;15.3786;11.3822
26;26.8438;9.60E-05;14.9515;10.7825
27;33.3335;0.000128;17.4996;14.8634
28;27.2302;9.60E-05;15.4204;10.7797
29;27.874;0.000128;15.4104;11.395
30;28.1503;0.000128;16.2515;10.8712
31;27.1811;9.60E-05;14.9597;10.8944
32;27.8023;0.000128;15.414;11.254
33;30.3445;0.000128;15.7711;12.8698
34;27.502;9.60E-05;15.2016;10.9787
35;27.8636;0.000128;15.8177;11.0344
36;27.5914;9.60E-05;15.648;11.0813
37;28.8617;0.000128;15.6446;11.9436
38;26.875;0.000128;14.8895;11.0765
39;28.3798;0.000128;15.5392;11.7174
40;35.7458;0.000128;19.844;14.5204
41;28.5953;9.60E-05;16.1017;11.4402
42;28.2748;0.000128;15.3571;11.8333
43;26.7263;0.000128;15.0784;10.8061
44;27.1631;0.000128;14.8316;11.139
45;26.848;9.60E-05;15.0931;10.6414
46;26.4973;9.60E-05;14.9204;10.7187
47;31.7433;0.000128;18.5812;11.8199
48;29.0906;0.000128;16.3366;11.0055
49;35.4835;0.000128;14.985;19.4087
50;26.6166;0.000128;15.1362;10.6058
51;28.9024;0.000128;16.0483;11.4965
52;27.9125;0.000128;15.649;11.19
53;36.9022;9.60E-05;19.7132;16.1051
54;27.3981;9.60E-05;15.4951;11.0078
55;27.6817;0.000128;15.5946;11.218
56;28.6712;9.60E-05;15.3349;13.1504
57;29.4065;0.000128;17.7999;10.6733
58;26.2214;0.000128;14.8854;10.4691
59;28.7981;9.60E-05;15.0313;12.7007
60;27.1818;0.000128;16.3611;10.0363
61;25.9303;0.000128;15.1308;9.78826
62;26.0245;0.000128;15.3333;9.96096
63;25.9917;9.60E-05;15.4408;9.66762
64;27.5012;9.60E-05;16.308;10.1525
65;28.1054;0.000128;17.5154;9.47734
66;29.3188;0.000128;17.1078;11.0842
67;25.696;9.60E-05;15.1023;9.66061
68;30.1164;0.000128;19.3406;9.65891
69;26.1167;0.000128;17.5389;7.50458
70;23.1438;9.60E-05;17.2284;4.93178
71;19.0768;0.000128;14.9984;3.35776
72;18.9483;9.60E-05;15.2234;2.58138
73;18.9606;9.60E-05;14.9675;2.68042
74;20.2712;0.000128;16.4665;2.84333
75;19.0177;0.000128;15.7024;2.44435
76;19.3254;0.000128;15.3024;3.25603
77;18.502;0.000128;14.6906;2.45942
78;18.9724;9.60E-05;15.1143;2.47286
79;18.59;9.60E-05;15.0207;2.4895
80;18.5669;0.000128;14.4583;2.79213
81;18.0572;0.000128;14.6502;2.46531
82;18.5524;9.60E-05;14.928;2.51936
83;19.4762;9.60E-05;15.6867;2.91398
84;19.9868;0.000128;16.0851;2.52611
85;18.5646;0.000128;15.2873;2.4457
86;18.3232;0.000128;14.7328;2.45149
87;18.1194;9.60E-05;14.6686;2.47901
88;18.5158;0.000128;14.8225;2.55933
89;19.2263;0.000128;14.9965;3.39565
90;21.7044;0.000128;14.6204;5.81197
91;24.1529;9.60E-05;14.8865;8.23523
92;27.0174;0.000128;14.9427;10.7629
93;29.5164;0.000128;15.8046;12.508
94;28.6634;0.000128;14.7843;13.1722
95;29.0155;0.000128;14.6401;13.19
96;28.7416;0.000128;14.9522;12.8793
97;29.1303;9.60E-05;14.6567;13.1084
98;29.2791;0.000128;14.3663;13.1488
99;30.8193;9.60E-05;15.5839;14.1463
100;28.5912;0.000128;14.5416;13.1735
101;28.5209;0.000128;14.7075;12.929
102;29.3326;0.000128;14.8013;13.3257
103;29.0491;0.000128;14.903;12.7192
104;27.855;0.000128;14.5706;11.978
105;29.218;0.000128;14.7828;13.1948
106;29.3787;0.000128;16.1958;11.7503
107;27.626;0.000128;14.6196;11.7374
108;28.2747;0.000128;15.5188;11.3663
109;27.3983;9.60E-05;14.7535;11.7094
110;27.0406;0.000128;14.771;11.1234
111;27.6826;0.000128;14.7753;11.3873
112;30.0878;0.000128;15.605;13.0278
113;29.9653;0.000128;17.4836;11.2545
114;26.7665;0.000128;14.5966;11.213
115;27.8582;0.000128;14.8145;11.378
116;27.4098;9.60E-05;14.6549;11.6959
117;27.7036;0.000128;14.9514;11.3149
118;27.7776;0.000128;14.9186;11.5018
119;29.9781;0.000128;17.5458;11.478
120;27.3831;0.000128;14.5382;11.5253
121;28.9956;0.000128;15.4787;12.5277
122;27.3206;0.000128;14.6921;11.3186
123;27.4228;0.000128;14.7414;11.1312
124;26.629;0.000128;14.654;11.075
125;27.2494;0.000128;15.0248;11.1807
126;31.0452;0.000128;15.7404;14.041
127;28.2661;0.000128;15.0581;11.6602
128;27.9393;0.000128;14.6717;11.5884
129;27.5737;0.000128;14.6888;11.4898
130;26.8539;0.000128;14.6374;11.3284
131;27.4756;0.000128;14.8743;11.7668
132;29.3852;9.60E-05;14.6775;12.9838
133;27.883;0.000128;15.5348;11.4531
134;27.6774;0.000128;14.6547;11.502
135;27.3813;9.60E-05;14.7456;11.5922
136;28.0842;0.000128;15.0658;11.7082
137;28.5907;0.000128;15.3987;11.8516
138;26.5996;9.60E-05;14.5106;11.1838
139;30.4121;0.000128;15.1288;14.2195
140;27.2151;0.000128;14.8782;11.4553
141;28.0681;9.60E-05;14.8053;11.3474
142;27.8157;0.000128;15.0282;11.5009
143;28.6172;0.000128;15.658;11.8523
144;26.9021;9.60E-05;14.6418;11.362
145;27.1596;0.000128;14.8085;11.3996
146;28.9457;0.000128;15.2994;12.3371
147;27.5998;0.000128;14.8636;11.8315
148;27.2695;0.000128;14.8784;11.5289
149;27.9116;0.000128;14.8346;11.4623
150;27.9622;0.000128;14.6276;11.7911
151;26.9345;0.000128;14.562;11.2861
152;28.2725;0.000128;14.5307;12.1875
153;31.0976;0.000128;18.8395;11.4099
154;26.8155;0.000128;14.4442;11.4635
155;27.9998;0.000128;14.8533;11.4345
156;26.8208;0.000128;14.7199;11.2149
157;26.6601;9.60E-05;14.4899;11.3126
158;39.5315;9.60E-05;29.2995;10.0204
159;29.9597;9.60E-05;15.7447;12.931
160;27.8345;0.000128;14.7152;11.5269
161;27.8997;9.60E-05;15.2119;11.4617
162;27.3114;0.000128;14.5362;11.479
163;27.4528;0.000128;14.8813;12.1119
164;28.0249;0.000128;14.9989;11.7326
165;27.8906;0.000128;14.9662;11.975
166;28.8465;0.000128;16.2491;11.3986
167;27.7061;0.000128;14.5836;11.5037
168;27.7207;0.000128;14.6869;11.9197
169;27.9355;0.000128;15.4347;11.4693
170;26.8105;0.000128;14.5809;11.3779
171;28.8962;0.000128;15.2679;12.2868
172;32.2976;0.000128;16.0746;15.1843
173;28.4617;0.000128;14.4895;12.1379
174;27.7737;9.60E-05;15.0075;11.515
175;27.5705;0.000128;14.7763;11.9162
176;26.9869;0;14.6148;11.3957
177;26.9656;0;14.5481;11.0788
178;27.3281;3.20E-05;14.6278;11.1911
179;29.2404;0;15.6015;12.5849
180;27.641;0;14.7089;11.4912
181;27.5983;0;15.3534;11.3593
182;27.3924;0;14.7689;11.374
183;27.2706;0;14.6898;11.361
184;29.419;0;15.8351;12.8128
185;28.4177;3.20E-05;14.851;12.2824
186;28.8733;0;16.1438;11.8346
187;28.3993;0;14.844;11.9559
188;28.4559;3.20E-05;15.0562;11.4796
189;27.9384;0;14.8924;11.6423
190;36.8214;0;23.9995;11.4212
191;27.7551;0;15.1228;11.5856
192;32.1883;0;18.4286;12.4181
193;29.3788;0;16.0119;12.1133
194;29.327;0;16.2828;12.0524
195;27.898;3.20E-05;15.037;11.4957
196;27.5071;0;14.7531;11.4244
197;27.3109;0;15.0195;11.3962
198;28.3298;0;14.6399;12.4474
199;29.4539;0;16.87;11.36
200;27.2748;0;14.5217;11.3252
201;27.2902;0;14.9306;11.5528
202;27.7217;0;15.1439;11.4092
203;27.7543;0;14.8992;11.5254
204;28.9409;0;15.0772;12.0792
205;28.7979;0;16.0438;11.6369
206;29.3492;3.20E-05;16.6224;11.8406
207;27.2291;3.20E-05;14.7138;11.6124
208;27.8824;3.20E-05;14.8942;11.8253
209;28.1609;3.20E-05;15.9437;11.3689
210;27.7814;0;15.1301;11.0534
211;28.1591;0;14.7765;11.5274
212;29.2038;0;16.8339;11.3488
213;27.7956;0;14.9941;11.5355
214;27.3667;0;14.7892;11.3021
215;28.39;3.20E-05;14.922;12.2396
216;27.6299;0;14.81;11.9284
217;27.431;0;14.628;11.636
218;29.8649;3.20E-05;15.5904;13.2716
219;27.6597;0;15.104;11.4036
220;27.8477;3.20E-05;15.0669;11.6748
221;35.6296;0;14.9135;20.4673
222;27.7365;3.20E-05;14.8567;11.6243
223;27.6541;0;14.9532;11.762
224;26.9187;0;14.5121;11.392
225;29.3122;0;15.4645;12.5591
226;28.1072;3.20E-05;15.0211;11.8871
227;27.8502;0;14.9353;11.762
228;27.7203;0;14.8628;11.4308
229;28.0318;0;14.9251;11.6961
230;27.8749;0;14.9509;12.0301
231;30.6387;0;16.7107;13.0284
232;28.7263;0;16.061;11.7912
233;28.0029;0;15.2057;11.8677
234;27.316;0;14.8353;11.3646
235;27.9198;0;15.1447;11.7854
236;28.0163;0;14.9683;11.5145
237;27.1885;3.20E-05;14.4676;11.3764
238;28.3461;3.20E-05;14.638;12.4394
239;29.4146;0;16.7181;11.6111
240;27.5605;0;15.0494;11.6495
241;27.8515;0;14.9687;11.947
242;27.518;0;14.6667;11.493
243;27.9178;0;15.2549;11.5508
244;28.0772;3.20E-05;14.8715;11.4106
245;28.3284;0;14.457;12.4658
246;30.094;0;17.1006;12.0167
247;28.1018;0;14.9666;11.7956
248;27.2729;0;14.6584;11.3553
249;27.2534;3.20E-05;14.5655;11.4364
250;27.4409;3.20E-05;14.8144;11.3493
251;27.2551;3.20E-05;14.6268;11.4945
252;30.2815;3.20E-05;16.8609;12.5601
253;31.5317;0;14.8139;16.5227
254;27.2667;3.20E-05;14.7368;11.6441
255;27.9236;3.20E-05;14.8487;11.6328
256;27.8713;0;14.8524;11.617
257;27.9868;0;15.2665;11.5361
258;28.4182;0;14.8003;12.22
259;28.8505;0;15.8888;11.765
260;27.2558;0;14.7912;11.3847
261;27.5672;0;14.7981;11.4334
262;29.368;3.20E-05;15.9147;12.0578
263;27.1456;0;14.4868;11.4207
264;28.1311;3.20E-05;14.7432;11.9542
265;30.0705;0;16.0527;13.0476
266;28.1507;3.20E-05;15.3696;11.3484
267;29.6572;0;15.884;12.8714
268;27.9988;3.20E-05;15.0799;11.5585
269;27.1717;0;15.1593;11.1329
270;27.2485;3.20E-05;14.8551;11.2078
271;27.3373;3.20E-05;14.5395;11.3833
272;28.8731;0;15.4948;12.0466
273;28.3876;0;15.0825;11.6138
274;27.1343;3.20E-05;14.767;11.4726
275;27.3072;0;14.7212;11.3704
276;27.2998;0;14.4315;11.5895
277;27.3386;3.20E-05;14.9193;11.2345
278;28.8489;0;15.8543;11.554
279;27.214;0;14.7691;11.3627
280;27.7329;3.20E-05;14.6832;11.792
281;27.8221;0;14.8633;11.3737
282;27.3023;0;14.5103;11.3487
283;28.0724;0;15.3197;12.0084
284;26.9219;0;14.7078;11.3501
285;31.0368;0;16.2108;14.5921
286;27.9508;0;14.94;11.6825
287;27.3814;3.20E-05;14.6724;11.4359
288;27.7648;0;15.1494;11.3918
289;28.017;0;14.9602;11.8115
290;27.4859;3.20E-05;14.6924;11.2748
291;29.0013;0;14.8274;12.9831
292;26.966;0;14.7561;11.3181
293;28.3963;0;14.9941;12.0827
294;27.8342;0;15.2028;11.5538
295;27.3711;0;14.6798;11.5194
296;28.4484;3.20E-05;15.0344;11.6406
297;26.974;0;14.6453;11.4608
298;28.1291;3.20E-05;15.2594;11.4734
299;30.6944;0;16.6934;12.5551
300;27.0147;0;14.6911;11.4385
301;27.5335;0;14.7831;11.4516
302;27.4353;3.20E-05;14.6734;11.4173
303;27.13;0;14.8838;11.3696
304;27.1702;3.20E-05;14.8785;11.3636
305;29.1646;0;15.7546;11.7731
306;28.2052;3.20E-05;15.2881;11.6154
307;27.1044;0;14.6119;11.4679
308;27.4606;0;14.6574;11.5517
309;28.7426;3.20E-05;14.9696;12.4716
310;27.8075;0;15.2159;11.4283
311;27.8632;0;14.749;11.8905
312;31.242;0;17.2486;12.3963
313;27.8887;0;14.7906;11.6237
314;27.4676;0;15.0256;11.4237
315;28.3027;0;15.6824;11.3357
316;27.3873;0;14.7009;11.3723
317;27.5676;0;14.5947;11.2867
318;42.9727;0;28.9873;13.067
319;28.1119;0;15.3852;11.8234
320;28.8334;3.20E-05;15.7372;11.7196
321;27.9552;0;15.1865;11.4884
322;27.4989;0;14.8966;11.5631
323;27.3133;0;14.7884;11.3788
324;27.4134;0;14.9058;11.6076
325;30.9612;0;15.5986;13.7076
326;26.756;3.20E-05;14.5557;11.24
327;27.8594;3.20E-05;14.7552;11.7094
328;27.6523;3.20E-05;15.0294;11.2984
329;27.2136;0;14.6029;11.4204
330;27.6595;3.20E-05;14.9647;12.2656
331;28.8192;3.20E-05;14.8722;12.6304
332;30.5785;0;16.4753;12.7697
333;28.393;0;15.5155;11.7811
334;27.0981;0;14.8772;11.3304
335;27.568;0;15.179;11.4814
336;27.4302;0;14.8223;11.4165
337;27.6731;0;14.6961;12.0068
338;30.7996;0;16.8241;12.803
339;29.3277;3.20E-05;15.0913;13.2477
340;27.4001;0;14.7641;11.6586
341;27.8778;0;15.5299;11.377
342;27.4058;3.20E-05;14.6917;11.7657
343;27.3847;3.20E-05;14.6825;11.6394
344;27.1307;3.20E-05;14.7653;11.4036
345;27.9379;3.20E-05;15.3735;11.44
346;28.1953;0;15.481;11.5922
347;27.6569;0;14.5159;11.4437
348;26.9485;3.20E-05;14.6586;11.4038
349;39.9715;0;27.4311;11.33
350;27.9886;0;14.8583;11.4162
351;33.3411;3.20E-05;16.2255;15.3791
352;28.1283;0;15.1216;11.6997
353;27.8021;3.20E-05;15.1201;11.3578
354;27.1378;0;14.6403;11.4891
355;27.0907;3.20E-05;14.4894;11.2834
356;27.9664;0;15.0624;11.8496
357;26.9117;0;14.5261;11.4137
358;31.0091;0;15.6328;13.9179
359;27.3653;0;14.716;11.4013
360;27.2254;0;14.9811;11.3827
361;29.4789;0;15.5007;12.3718
362;27.2889;0;14.7508;11.4196
363;27.3081;3.20E-05;14.7918;11.1908
364;27.1249;0;14.3947;11.6624
